Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,is_peak_hours,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,correction_metric,corrected_cost,Calculated_Fare,group,simulated_price,conversion_prob,conversion,cost,net_revenue
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,0,0.9382716049382718,High_demand,High_supply,1.1111111111111112,1.1842105263157894,0.0,284.25727302188227,355.3215912773528,A,284.25727302188227,1.0,1,198.98009111531758,85.27718190656469
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,0,0.9418803418803419,Medium_demand,High_supply,0.9666666666666667,1.0263157894736843,0.0,173.87475274940766,180.30811860113576,B,180.30811860113576,1.0,1,126.21568302079503,54.092435580340734
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1,0.49677419354838703,Medium_demand,Medium_supply,0.7,1.4090909090909092,0.403225806451613,196.81342502585682,347.86772873320194,A,329.7954689622466,1.0,1,230.8568282735726,98.93864068867401
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,1,0.86331569664903,High_demand,Medium_supply,1.0987654320987654,1.2727272727272727,0.03668430335097006,452.95222712975465,966.3735765813316,A,470.2012317513198,0.9999999999050175,1,329.14086222592385,141.06036952539597
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,1,1.3,Medium_demand,Medium_supply,1.3,1.0,0.19999999999999996,695.6177068368169,1518.8812628781895,A,579.6814223640141,1.7743345117689126e-14,0,405.77699565480987,0.0
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,0,0.6180952380952381,Medium_demand,Medium_supply,0.9833333333333333,1.5909090909090908,0.2819047619047619,244.12032561520044,373.95089666519436,B,373.95089666519436,1.0,1,261.76562766563603,112.18526899955833
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,1,1.0146425495262705,High_demand,High_supply,1.1481481481481481,1.131578947368421,0.0,104.06154127359152,163.89692750590666,A,104.06154127359152,1.0,1,72.84307889151405,31.218462382077462
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,1,1.0068376068376068,Medium_demand,High_supply,1.0333333333333334,1.0263157894736843,0.0,235.81186355605,358.08031480986205,A,235.81186355605,1.0,1,165.068304489235,70.74355906681501
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,0,2.0690476190476192,Medium_demand,Medium_supply,1.3166666666666667,0.6363636363636364,0.9690476190476192,987.3051237111756,1465.1608035873846,A,501.4125174833056,0.9994313556562574,1,350.9887622383139,150.4237552449917
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,0,1.2833333333333334,Medium_demand,Low_supply,0.7,0.5454545454545454,0.18333333333333335,472.1421480752222,705.8525113724572,B,705.8525113724572,7.101198192321169e-42,0,494.09675796072,0.0
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,1,1.374001452432825,High_demand,Medium_supply,1.0617283950617284,0.7727272727272727,0.2740014524328249,852.6874222288235,1820.4876464585382,A,669.2986264658781,6.150449930836697e-34,0,468.50903852611464,0.0
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,0,0.5789473684210527,Medium_demand,Medium_supply,1.0,1.7272727272727273,0.32105263157894737,281.75643952892494,433.9049168745444,A,414.9901047325251,1.0,1,290.49307331276754,124.49703141975755
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,1,0.825,Low_demand,Low_supply,0.6,0.7272727272727273,0.07500000000000007,453.62991758943133,961.0149804132104,A,490.41072171830416,0.9999976768505556,1,343.2875052028129,147.12321651549126
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,0,0.8250000000000001,Low_demand,Medium_supply,0.9,1.0909090909090908,0.07499999999999996,274.0246602925281,338.96850478185723,A,296.24287599192223,1.0,1,207.37001319434555,88.87286279757669
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,1,1.7769230769230768,Medium_demand,Medium_supply,1.05,0.5909090909090909,0.6769230769230767,548.5028657079905,1087.9554341317994,B,1087.9554341317994,7.563733126587188e-125,0,761.5688038922596,0.0
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,1,1.7875,Low_demand,Medium_supply,0.975,0.5454545454545454,0.6875,751.1684654653524,1483.557719294071,A,445.1368684239125,0.9999999999999996,1,311.59580789673873,133.54106052717378
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,1,0.7464285714285714,Low_demand,Medium_supply,0.95,1.2727272727272727,0.15357142857142858,206.9824025852252,345.143156310863,B,345.143156310863,1.0,1,241.60020941760408,103.54294689325891
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,1,1.204761904761905,Medium_demand,Medium_supply,0.7666666666666667,0.6363636363636364,0.10476190476190483,52.27104572856726,78.21055217136876,B,78.21055217136876,1.0,1,54.74738651995813,23.463165651410634
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,0,1.2964285714285715,Low_demand,Low_supply,0.825,0.6363636363636364,0.1964285714285714,155.30631455231355,146.76446725193634,B,146.76446725193634,1.0,1,102.73512707635543,44.02934017558091
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,0,1.217857142857143,Low_demand,Low_supply,0.775,0.6363636363636364,0.11785714285714288,428.0812804646907,534.0313973797017,A,382.9481103198511,1.0,1,268.06367722389575,114.88443309595533
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,1,1.0008230452674898,High_demand,High_supply,1.1851851851851851,1.1842105263157894,0.0,82.77279318243978,124.15918977365968,B,124.15918977365968,1.0,1,86.91143284156176,37.247756932097914
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,0,1.1,Low_demand,Medium_supply,0.55,0.5,0.0,64.07117255500656,70.47828981050722,A,64.07117255500656,1.0,1,44.84982078850459,19.221351766501968
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,1,1.6958333333333333,Medium_demand,Medium_supply,1.2333333333333334,0.7272727272727273,0.5958333333333332,623.4422388018817,1340.4008134240455,B,1340.4008134240455,1.1505846950897257e-179,0,938.2805693968318,0.0
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,0,1.1,Low_demand,Medium_supply,0.6,0.5454545454545454,0.0,212.16652497375452,222.77485122244224,B,222.77485122244224,1.0,1,155.94239585570955,66.83245536673269
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,0,0.9263157894736842,Medium_demand,Medium_supply,0.8,0.8636363636363636,0.0,235.65813370551408,255.57124600363005,B,255.57124600363005,1.0,1,178.89987220254102,76.67137380108903
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,0,1.5794871794871794,Medium_demand,Medium_supply,0.9333333333333333,0.5909090909090909,0.47948717948717934,601.4966060943756,1052.6190606651573,B,1052.6190606651573,3.563954908149706e-117,0,736.8333424656101,0.0
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,1,0.7999999999999999,Medium_demand,Medium_supply,1.2,1.5,0.10000000000000009,164.2269843536865,241.16732652338862,B,241.16732652338862,1.0,1,168.81712856637202,72.3501979570166
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,0,0.6067489711934156,High_demand,High_supply,1.1975308641975309,1.9736842105263157,0.2932510288065844,461.2366034498597,710.3043693127838,B,710.3043693127838,7.666955896053127e-43,0,497.2130585189486,0.0
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,0,0.688888888888889,Medium_demand,Medium_supply,1.0333333333333334,1.5,0.21111111111111103,318.1013776025424,477.15206640381365,B,477.15206640381365,0.9999999969309941,1,334.00644648266956,143.1456199211441
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,0,0.5499999999999999,Medium_demand,Medium_supply,0.95,1.7272727272727273,0.3500000000000001,349.5601586443507,591.563345398132,B,591.563345398132,4.6656128220669554e-17,0,414.0943417786924,0.0
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,1,0.9821428571428572,Low_demand,Low_supply,0.625,0.6363636363636364,0.0,286.13145256368455,499.6570490393341,A,286.13145256368455,1.0,1,200.29201679457918,85.83943576910536
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,0,0.8482142857142858,Medium_demand,High_supply,1.25,1.4736842105263157,0.05178571428571421,459.935761127184,705.7714254496639,A,485.0546633356366,0.9999998404029765,1,339.5382643349456,145.51639900069097
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,1,1.1916666666666667,Low_demand,Low_supply,0.975,0.8181818181818182,0.09166666666666656,186.76886533839289,261.47641147375003,B,261.47641147375003,1.0,1,183.033488031625,78.44292344212502
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,0,0.8020833333333334,Low_demand,Medium_supply,0.875,1.0909090909090908,0.09791666666666665,438.30285513727404,563.0000174238285,B,563.0000174238285,7.436294105983103e-11,0,394.1000121966799,0.0
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,1,0.7791666666666667,Medium_demand,Medium_supply,1.1333333333333333,1.4545454545454546,0.12083333333333335,259.1193293617215,459.9368096170557,B,459.9368096170557,0.9999999999994393,1,321.955766731939,137.98104288511672
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,1,1.0473729543496986,High_demand,High_supply,1.1851851851851851,1.131578947368421,0.0,392.83872040801793,727.1444714752413,A,392.83872040801793,1.0,1,274.98710428561253,117.8516161224054
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,1,1.4,Low_demand,Medium_supply,0.7,0.5,0.2999999999999998,593.0352308227094,1009.197704052546,B,1009.197704052546,9.566652247376748e-108,0,706.4383928367821,0.0
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,0,0.9166666666666667,Low_demand,Medium_supply,0.625,0.6818181818181818,0.0,502.5293207873477,667.8614673263851,A,502.5293207873477,0.9990065023958953,1,351.77052455114335,150.75879623620432
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,1,1.2833333333333334,Low_demand,Low_supply,0.7,0.5454545454545454,0.18333333333333335,288.99089962262167,527.4083918112846,A,244.21766165291973,1.0,1,170.9523631570438,73.26529849587592
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,0,1.5745098039215686,Medium_demand,Medium_supply,1.2166666666666666,0.7727272727272727,0.4745098039215685,935.9104931005121,1684.638887580922,A,634.7265312250814,1.977616071610705e-26,0,444.30857185755696,0.0
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,0,1.0999999999999999,Low_demand,Medium_supply,0.9,0.8181818181818182,0.0,345.40676830595487,428.304392699384,A,345.40676830595487,1.0,1,241.78473781416838,103.62203049178649
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,0,1.0266666666666666,Medium_demand,Low_supply,0.9333333333333333,0.9090909090909091,0.0,151.15212964816465,166.2673426129811,A,151.15212964816465,1.0,1,105.80649075371525,45.345638894449394
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,0,0.5618046029568663,High_demand,High_supply,1.1975308641975309,2.1315789473684212,0.3381953970431337,351.2594070225739,583.8359932803525,B,583.8359932803525,2.2227053153609396e-15,0,408.6851952962467,0.0
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,1,1.2833333333333332,Medium_demand,Low_supply,1.05,0.8181818181818182,0.18333333333333313,571.3726943028576,1304.7295474405753,B,1304.7295474405753,6.409668698258359e-172,0,913.3106832084027,0.0
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,1,0.8666666666666667,Medium_demand,Medium_supply,1.3,1.5,0.033333333333333326,344.09419057003663,627.9718977903169,B,627.9718977903169,5.792846182527585e-25,0,439.5803284532218,0.0
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,1,0.7975,Low_demand,Low_supply,0.725,0.9090909090909091,0.10250000000000004,272.80496393995224,511.50930738741044,B,511.50930738741044,0.9185862492803456,1,358.0565151711873,153.45279221622314
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,0,0.811111111111111,Medium_demand,Medium_supply,1.2166666666666666,1.5,0.08888888888888902,469.1103143088782,767.9335845236335,B,767.9335845236335,2.347458286528106e-55,0,537.5535091665434,0.0
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,0,0.8803746275010643,High_demand,Medium_supply,1.1604938271604939,1.3181818181818181,0.0196253724989357,354.04499796437625,456.71804737404534,A,361.13235495172165,1.0,1,252.79264846620515,108.3397064855165
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,0,0.7071428571428572,Medium_demand,Medium_supply,0.9,1.2727272727272727,0.19285714285714284,64.78327501620555,88.28871108403236,B,88.28871108403236,1.0,1,61.80209775882265,26.48661332520971
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,0,2.0472222222222225,Medium_demand,Low_supply,1.1166666666666667,0.5454545454545454,0.9472222222222224,819.0482273011022,1179.4294473135874,B,1179.4294473135874,1.0361117907222712e-144,0,825.6006131195111,0.0
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,1,0.7906249999999999,Low_demand,Low_supply,0.575,0.7272727272727273,0.10937500000000011,463.920034764104,846.6540634444898,A,520.8926706123274,0.09377494282627816,1,364.62486942862915,156.26780118369823
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,1,1.8333333333333335,Medium_demand,Medium_supply,1.1666666666666667,0.6363636363636364,0.7333333333333334,317.33137113931457,483.9303409874547,B,483.9303409874547,0.9999999090335344,1,338.7512386912183,145.1791022962364
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,0,0.55,Low_demand,Low_supply,0.5,0.9090909090909091,0.35,123.58935133205539,209.1512099465553,A,190.13746358777752,1.0,1,133.09622451144426,57.041239076333255
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1,0.530570252792475,High_demand,High_supply,1.1728395061728396,2.210526315789474,0.36942974720752497,329.3481690408693,598.5902972317801,B,598.5902972317801,1.3900342230965677e-18,0,419.01320806224606,0.0
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,0,0.9854166666666666,Medium_demand,Medium_supply,0.7166666666666667,0.7272727272727273,0.0,410.6863449474928,533.8922484317407,A,410.6863449474928,1.0,1,287.4804414632449,123.20590348424787
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,0,0.827384960718294,High_demand,High_supply,1.1975308641975309,1.4473684210526316,0.07261503928170598,542.5163729674248,860.9734838993032,B,860.9734838993032,1.4697397358472995e-75,0,602.6814387295123,0.0
